ticker,start_date_actual,start_price,end_date_actual,end_price,raw_return,normal_return_spy,excess_return,cluster,CAR,MaxDrawdown,Volatility,label
FDS,2025-01-27,467.553,2025-02-10,453.0278,-0.031066424555077132,0.009142900901601747,-0.04020932545667888,1,-0.008473734507716268,-0.031066424555077132,0.010961984093673783,Vulnerable
FELE,2025-01-27,98.344,2025-02-10,100.3137,0.020028674855608886,0.009142900901601747,0.010885773954007139,1,0.036740257718649194,-0.011831936874644011,0.008012198460488184,Vulnerable
FFIV,2025-01-27,263.01,2025-02-10,308.35,0.17238888255199436,0.009142900901601747,0.1632459816503926,1,0.13411856499492292,-0.020863738888152072,0.03784045849650787,Vulnerable
FIVN,2025-01-27,39.84,2025-02-10,41.0,0.029116465863453733,0.009142900901601747,0.019973564961851986,1,0.038863378119037395,-0.04553946753853344,0.023708399010764835,Vulnerable
FLEX,2025-01-27,38.85,2025-02-10,43.02,0.10733590733590748,0.009142900901601747,0.09819300643430573,1,-0.012208585982946607,-0.037547528517110296,0.04679948857797532,Vulnerable
FLUT,2025-01-27,262.69,2025-02-10,269.3,0.025162739350565344,0.009142900901601747,0.016019838448963597,1,0.013187636107600431,-0.03176587374535822,0.012431081897484502,Vulnerable
FN,2025-01-27,202.03,2025-02-10,210.89,0.04385487303865765,0.009142900901601747,0.0347119721370559,1,-0.16435178327958422,-0.0818705673758865,0.07692229742934752,Vulnerable
FORM,2025-01-27,38.26,2025-02-10,35.73,-0.06612650287506538,0.009142900901601747,-0.07526940377666713,1,-0.13930236996293233,-0.13107976653696507,0.040810950210812616,Vulnerable
FROG,2025-01-27,34.44,2025-02-10,36.54,0.060975609756097615,0.009142900901601747,0.05183270885449587,1,0.05510847792928841,-0.028235951915012714,0.01828942244662524,Vulnerable
FRSH,2025-01-27,17.99,2025-02-10,18.3,0.017231795441912334,0.009142900901601747,0.008088894540310587,1,0.011072433834220963,-0.09417721518987343,0.03603689222867673,Vulnerable
FRSX,2025-01-27,22.365,2025-02-10,20.307,-0.09201877934272296,0.009142900901601747,-0.1011616802443247,1,-0.25612097543877155,-0.10462962962962963,0.06664855778455207,Vulnerable
FSLR,2025-01-27,164.31,2025-02-10,162.89,-0.008642200718154802,0.009142900901601747,-0.01778510161975655,1,-0.024915937825572554,-0.03237495544730917,0.022701052956604944,Vulnerable
FSLY,2025-01-27,10.11,2025-02-10,10.58,0.04648862512364005,0.009142900901601747,0.0373457242220383,1,0.040127600364432414,-0.08516483516483497,0.036427914447914954,Vulnerable
FTCI,2025-01-27,3.97,2025-02-10,3.41,-0.1410579345088161,0.009142900901601747,-0.15020083541041784,1,-0.19372371180755277,-0.16707616707616713,0.032930996951713636,Vulnerable
FTNT,2025-01-27,96.77,2025-02-10,109.55,0.13206572284799,0.009142900901601747,0.12292282194638826,1,0.12913819505205526,-0.005008514474606707,0.01353943106692883,Vulnerable
GCT,2025-01-27,19.91,2025-02-10,20.33,0.021094927172275124,0.009142900901601747,0.011952026270673377,1,-0.019967604434493746,-0.13077939233817715,0.04846296148247136,Vulnerable
GDDY,2025-01-27,204.93,2025-02-10,211.57,0.032401307763626486,0.009142900901601747,0.02325840686202474,1,0.026414924485565705,-0.020900396547702593,0.015434085744500581,Vulnerable
GDRX,2025-01-27,4.85,2025-02-10,4.96,0.022680412371134162,0.009142900901601747,0.013537511469532415,1,0.008897378212266771,-0.0505050505050505,0.020139766873364485,Vulnerable
GDS,2025-01-27,21.24,2025-02-10,29.25,0.3771186440677967,0.009142900901601747,0.36797574316619497,1,0.27795281133829586,-0.058134490238611725,0.06622808845260614,Vulnerable
GDYN,2025-01-27,21.27,2025-02-10,22.95,0.0789844851904089,0.009142900901601747,0.06984158428880716,1,0.04819009622836212,-0.04573804573804585,0.027252351339346566,Vulnerable
GEN,2025-01-27,26.8699,2025-02-10,27.4857,0.022917837431475352,0.009142900901601747,0.013774936529873605,1,0.030426649865470945,-0.03513823828266849,0.014596183091052794,Vulnerable
GFS,2025-01-27,41.18,2025-02-10,37.74,-0.0835356969402622,0.009142900901601747,-0.09267859784186394,1,-0.09250677983632949,-0.09060240963855426,0.015705690855107465,Vulnerable
