companyid,companyname,n_sentences,mean_p_positive,mean_p_negative,mean_p_neutral,mean_sentiment,std_sentiment,pct_negative,pct_neutral,pct_positive,ratio_strong_negative,ratio_strong_positive
276431142,"Confluent, Inc.",462,0.3525199532121807,0.05569900816318567,0.5917810391255723,0.29682094504899503,0.4067424728804924,0.030303030303030304,0.6341991341991342,0.3354978354978355,0.02813852813852814,0.3354978354978355
278860821,Kingsoft Cloud Holdings Limited,178,0.6275385892897677,0.04800179215367842,0.3244596211281553,0.5795367971360893,0.44757729083862957,0.033707865168539325,0.30337078651685395,0.6629213483146067,0.033707865168539325,0.6573033707865169
279346385,Zepp Health Corporation,198,0.47636729705081593,0.11418507309545847,0.40944763258419403,0.3621822239553575,0.5362374122388647,0.10606060606060606,0.41414141414141414,0.4797979797979798,0.10101010101010101,0.4797979797979798
285799345,D-Market Elektronik Hizmetler ve Ticaret A.S.,211,0.515205013124334,0.05351052955852301,0.43128445656237446,0.461694483565811,0.4552133308344584,0.03317535545023697,0.44075829383886256,0.5260663507109005,0.03317535545023697,0.5213270142180095
286753997,GitLab Inc.,356,0.3543945998738237,0.044003360633989484,0.6016020350880251,0.31039123923983425,0.37694300157847194,0.025280898876404494,0.6544943820224719,0.3202247191011236,0.025280898876404494,0.31741573033707865
289284240,"Rubrik, Inc.",331,0.4405681370248247,0.05223390471831729,0.5071979596299258,0.38833423230650743,0.42662229695975373,0.03927492447129909,0.5347432024169184,0.4259818731117825,0.030211480362537766,0.4259818731117825
291855394,Bilibili Inc.,240,0.5903991103094692,0.0300471307671008,0.37955375912521655,0.5603519795423684,0.3987061050170057,0.0125,0.3458333333333333,0.6416666666666667,0.0125,0.6416666666666667
302151977,"Alarm.com Holdings, Inc.",207,0.3709743091980544,0.07526201839842227,0.5537636746710913,0.2957122907996322,0.4423707204974737,0.05314009661835749,0.6038647342995169,0.34299516908212563,0.04830917874396135,0.34299516908212563
306401012,Navitas Semiconductor Corporation,261,0.3714725663225341,0.09246612838344556,0.5360613070085816,0.2790064379390886,0.4515419588909109,0.07662835249042145,0.5708812260536399,0.3524904214559387,0.06896551724137931,0.3524904214559387
308700964,"Toast, Inc.",252,0.4867073436681595,0.04233183806377744,0.4709608196059153,0.44437550560438205,0.42025105372479954,0.01984126984126984,0.48412698412698413,0.49603174603174605,0.01984126984126984,0.49603174603174605
310103275,"Klaviyo, Inc.",381,0.410429231994822,0.07512549941337562,0.5144452673439278,0.3353037325814464,0.4436661257345209,0.06036745406824147,0.5275590551181102,0.4120734908136483,0.05249343832020997,0.4094488188976378
328671450,"KULR Technology Group, Inc.",213,0.3962281553004759,0.08654082639081657,0.5172310168701858,0.30968732890965933,0.4817777058691126,0.07511737089201878,0.5446009389671361,0.38028169014084506,0.06572769953051644,0.3755868544600939
336308405,BlackSky Technology Inc.,243,0.4890941827646131,0.059942460136005175,0.45096336072502435,0.4291517226286079,0.44934243447940225,0.04526748971193416,0.4609053497942387,0.49382716049382713,0.04526748971193416,0.48559670781893005
339110510,"Rekor Systems, Inc.",257,0.47638831976873636,0.06383296252855242,0.4597787184437831,0.41255535724018394,0.4523768191198968,0.04669260700389105,0.45525291828793774,0.4980544747081712,0.042801556420233464,0.4980544747081712
343303132,"UiPath, Inc.",263,0.42372556097146846,0.03688277673160395,0.5393916591789446,0.3868427842398645,0.3936205854650892,0.019011406844106463,0.5513307984790875,0.4296577946768061,0.015209125475285171,0.4296577946768061
373723538,Clarivate Plc,255,0.2877226065661685,0.18300407063763807,0.5292733220164391,0.10471853592853043,0.526616353073961,0.17647058823529413,0.5686274509803921,0.2549019607843137,0.16862745098039217,0.23921568627450981
379289324,Arbe Robotics Ltd.,108,0.35107997055510404,0.09506738514001309,0.5538526516994117,0.256012585415091,0.47403562181310815,0.07407407407407407,0.6018518518518519,0.32407407407407407,0.07407407407407407,0.3148148148148148
379834366,Varex Imaging Corporation,321,0.34403670055507407,0.15340119492512114,0.502562107112131,0.1906355056299529,0.5361627922374325,0.13707165109034267,0.5327102803738317,0.3302180685358255,0.1308411214953271,0.32398753894080995
403751487,GDS Holdings Limited,239,0.312189575214578,0.07143004491699229,0.6163803787286312,0.24075953029758573,0.4196839150562452,0.058577405857740586,0.6736401673640168,0.26778242677824265,0.05439330543933055,0.26778242677824265
409540249,"Ichor Holdings, Ltd.",210,0.4250597821504232,0.09578684789705134,0.4791533696376497,0.3292729342533719,0.482290465605606,0.0761904761904762,0.5142857142857142,0.4095238095238095,0.07142857142857142,0.40476190476190477
